Player,Runs,Balls,4s,6s,SR,Team,Opposition,Ground
Abhishek Sharma,135,54,7,13,250.01,India,v England,Wankhede
Shubman Gill,126*,63,12,7,200.01,India,v New Zealand,Ahmedabad
RD Gaikwad,123*,57,13,7,215.78,India,v Australia,Guwahati
Virat Kohli,122*,61,12,6,200.01,India,v Afghanistan,Dubai
Rohit Sharma,121*,69,11,8,175.36,India,v Afghanistan,Bengaluru
NT Tilak Varma,120*,47,9,10,255.31,India,v South Africa,Johannserburg
Rohit Sharma,118,43,12,10,274.51,India,v Sri Lanka,Indore
SK Yadav,117,55,14,6,212.72,India,v England,Nottingham
SK Yadav,112*,51,7,9,219.6,India,v Sri Lanka,Rajkot
Rohit Sharma,111*,61,8,7,181.96,India,v West Indies,Lucknow
SK Yadav,111*,51,11,7,217.64,India,v New Zealand,Mount Maunganui
Sanju Samson,111,47,11,8,236.14,India,v Bangladesh,Hyderabad
KL Rahul,110*,51,12,5,215.68,India,v West Indies,Lauderhill
Sanju Samson,109*,56,6,9,194.64,India,v South Africa,Johnnesburg
NT Tilak Varma,107*,56,8,7,191.07,India,v South Africa,Centurion
Sanju Samson,107,50,7,10,214.01,India,v South Africa,Durban
Rohit Sharma,106,66,12,5,160.6,India,v South Africa,Dharamsala
Deepak Hooda,104,57,9,6,182.45,India,v Ireland,Dublin
KL Rahul,101*,54,10,5,187.03,India,v England,Manchester
SK Raina,101,60,9,5,168.33,India,v South Africa,Gros Islet
Rohit Sharma,100*,56,11,5,178.36,India,v England,Bristol
YBK Jaiswal,100,49,8,7,204.08,India,v Nepal,Hangzhou
SK Yadav,100,56,7,8,178.57,India,v South Africa,Johannserburg
Abhishek Sharma,100,47,7,8,212.76,India,v Zimbabwe,Harare
